City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Bundaberg,22,AU,1614107869,88,-24.85,152.35,75.99,5.75
Saint Paul Harbor,1,US,1614107869,68,57.79,-152.4072,21.2,5.75
Nikolskoye,90,RU,1614107869,79,59.7035,30.7861,12.2,11.18
Deputatsky,54,RU,1614107870,81,69.3,139.9,-29.4,2.68
Murupara,24,NZ,1614107870,98,-38.4667,176.7,62.01,1.21
Bubaque,0,GW,1614107870,71,11.2833,-15.8333,77.92,16.71
Busselton,0,AU,1614107871,85,-33.65,115.3333,62.01,4.0
Yellowknife,75,CA,1614107650,64,62.456,-114.3525,-11.0,5.75
Mar del Plata,0,AR,1614107871,29,-38.0023,-57.5575,80.6,10.36
Hobart,0,AU,1614107801,81,-42.8794,147.3294,48.0,6.91
Jamestown,90,US,1614107872,93,42.097,-79.2353,36.0,23.02
Jalu,0,LY,1614107872,41,29.0331,21.5482,57.79,6.78
Verkhnetulomskiy,75,RU,1614107872,72,68.6073,31.7962,6.8,6.71
Tuatapere,100,NZ,1614107873,74,-46.1333,167.6833,63.0,1.99
Te Anau,100,NZ,1614107873,91,-45.4167,167.7167,57.11,2.24
Waitakere,71,NZ,1614107873,74,-36.9175,174.6577,69.01,9.78
Saint-Augustin,100,CA,1614107873,97,51.226,-58.6502,24.55,7.81
Vaini,20,TO,1614107874,83,-21.2,-175.2,78.8,6.91
Urucará,4,BR,1614107875,58,-2.5364,-57.76,88.09,6.38
George Town,20,MY,1614107832,78,5.4112,100.3354,80.01,7.9
Arraial do Cabo,0,BR,1614107875,74,-22.9661,-42.0278,87.8,10.36
Butaritari,0,KI,1614107875,77,3.0707,172.7902,81.59,19.93
Severo-Kuril'sk,100,RU,1614107876,93,50.6789,156.125,30.51,38.54
Rikitea,100,PF,1614107876,72,-23.1203,-134.9692,78.75,9.98
Najrān,0,SA,1614107876,33,17.4924,44.1277,71.6,2.8
Saint-Philippe,0,RE,1614107876,69,-21.3585,55.7679,78.8,5.75
New Norfolk,4,AU,1614107877,72,-42.7826,147.0587,48.0,2.66
Arrondissement de Saint-Jean-de-Maurienne,12,FR,1614107877,65,45.1667,6.5833,50.0,4.14
Adzopé,5,CI,1614107877,66,6.1069,-3.8619,80.71,5.53
Tasiilaq,75,GL,1614107877,74,65.6145,-37.6368,30.2,3.44
Sitka,75,US,1614107878,80,57.0531,-135.33,33.8,4.61
Kiama,89,AU,1614107878,91,-34.6833,150.8667,64.0,5.01
Esperance,0,AU,1614107878,63,-33.8667,121.9,64.4,12.66
Qaanaaq,100,GL,1614107878,80,77.484,-69.3632,10.62,3.44
Hervey Bay,99,AU,1614107879,83,-25.2986,152.8535,77.0,3.0
Ushuaia,90,AR,1614107612,87,-54.8,-68.3,46.4,10.36
Lima,0,PE,1614107643,61,-12.0432,-77.0282,77.0,11.5
Luganville,100,VU,1614107879,83,-15.5333,167.1667,79.9,8.52
Port Hardy,75,CA,1614107879,87,50.6996,-127.4199,37.4,6.91
Ngunguru,100,NZ,1614107880,92,-35.6167,174.5,66.0,1.01
Atikokan,99,CA,1614107880,97,48.7555,-91.6216,31.66,6.08
Punta Arenas,75,CL,1614107648,63,-53.15,-70.9167,60.8,31.07
Douglas,1,US,1614107769,53,41.3,-96.167,48.99,6.91
Bhikangaon,0,IN,1614107881,18,21.8667,75.95,77.04,3.11
Deloraine,80,AU,1614107881,76,-41.5333,146.6667,46.99,5.75
Sulangan,100,PH,1614107881,83,11.1373,123.7228,80.35,9.73
Pevek,100,RU,1614107882,88,69.7008,170.3133,-17.41,6.4
Keuruu,90,FI,1614107882,92,62.2667,24.7,12.99,4.61
Hilo,90,US,1614107883,83,19.7297,-155.09,69.8,9.22
Klaksvík,75,FO,1614107883,100,62.2266,-6.589,44.6,11.5
Lagoa,3,PT,1614107883,71,39.05,-27.9833,51.8,34.9
Bethel,90,US,1614107883,81,41.3712,-73.414,37.4,10.36
Roald,40,NO,1614107884,40,62.5833,6.1333,51.8,13.8
‘Ewa Beach,20,US,1614107884,61,21.3156,-158.0072,78.8,6.91
Kapaa,90,US,1614107885,73,22.0752,-159.319,75.99,16.11
Barrow,40,US,1614107613,99,71.2906,-156.7887,-40.0,10.36
Zigong,100,CN,1614107889,68,29.3416,104.7769,67.84,2.77
Vila,75,PT,1614107889,72,42.0304,-8.1588,62.01,10.36
Mayo,1,US,1614107890,47,38.8876,-76.5119,54.0,9.22
Kilinochchi,6,LK,1614107890,86,9.3961,80.3982,75.07,7.02
La Ronge,100,CA,1614107891,79,55.1001,-105.2842,15.8,3.44
Bluff,100,NZ,1614107891,74,-46.6,168.3333,63.0,1.99
Arman',0,RU,1614107891,78,59.7,150.1667,-7.01,10.2
Port Hedland,100,AU,1614107891,62,-20.3167,118.5667,86.0,8.05
Dingle,100,PH,1614107892,90,10.9995,122.6711,76.28,4.74
Kruisfontein,59,ZA,1614107892,77,-34.0033,24.7314,64.99,1.01
Kiunga,100,PG,1614107892,96,-6.1219,141.2906,72.32,1.79
Haines Junction,29,CA,1614107893,55,60.7522,-137.5108,1.4,1.14
Ugoofaaru,100,MV,1614107893,71,5.6667,73.0,82.02,8.03
Mulegé,0,MX,1614107893,18,26.8833,-111.9833,75.99,7.9
Port Alfred,19,ZA,1614107893,84,-33.5906,26.891,70.0,4.0
Westport,90,US,1614107661,87,41.1415,-73.3579,37.99,11.5
Dikson,94,RU,1614107894,99,73.5069,80.5464,-7.96,4.03
Barabai,100,ID,1614107894,95,-2.5833,115.3833,73.71,1.32
Port-Gentil,40,GA,1614107894,83,-0.7193,8.7815,82.4,6.91
Rabo de Peixe,40,PT,1614107895,58,37.8,-25.5833,55.4,26.46
Zaysan,100,KZ,1614107895,93,47.4667,84.8667,22.93,3.42
Rosetown,0,CA,1614107896,86,51.5501,-108.0014,26.6,11.5
Havelock,1,US,1614107766,34,34.8791,-76.9013,62.6,10.36
San Vicente,87,AR,1614107896,44,-26.6167,-54.1333,86.58,1.25
Venkatagiri,0,IN,1614107896,76,13.9667,79.5833,71.2,3.74
Kapoeta,96,SS,1614107897,51,4.7717,33.5903,78.39,7.31
Mataura,100,NZ,1614107897,74,-46.1927,168.8643,63.0,1.99
Nikki,21,BJ,1614107897,16,9.9401,3.2108,80.51,3.83
Hasaki,75,JP,1614107898,48,35.7333,140.8333,37.4,4.61
Albany,100,US,1614107866,68,42.6001,-73.9662,39.0,2.33
Turmalina,0,BR,1614107899,58,-17.2856,-42.73,82.33,3.02
Castro,1,BR,1614107899,37,-24.7911,-50.0119,84.38,2.98
Kuldīga,90,LV,1614107899,100,56.974,21.9572,37.4,5.75
San Patricio,20,US,1614107899,47,28.017,-97.5169,80.6,17.27
Orvieto,0,IT,1614107900,63,42.7195,12.1116,53.01,3.38
Chokurdakh,74,RU,1614107900,97,70.6333,147.9167,-34.44,7.74
Tuktoyaktuk,40,CA,1614107900,76,69.4541,-133.0374,-23.8,20.71
Kaitong,1,CN,1614107901,83,44.8135,123.15,9.97,7.47
Terrace,75,CA,1614107901,86,54.5163,-128.6035,33.8,14.97
Shihezi,100,CN,1614107901,95,44.3,86.0333,26.33,4.7
Sisimiut,100,GL,1614107902,94,66.9395,-53.6735,17.62,6.64
Port Elizabeth,20,ZA,1614107902,77,-33.918,25.5701,68.0,10.36
Khatanga,91,RU,1614107902,85,71.9667,102.5,-26.64,6.17
Orcopampa,46,PE,1614107902,46,-15.2661,-72.3417,57.15,0.74
Hermanus,35,ZA,1614107767,87,-34.4187,19.2345,64.0,5.32
Brooks,100,CA,1614107903,69,50.5834,-111.8851,33.8,6.91
Chengzihe,0,CN,1614107903,86,45.3333,131.0667,-3.84,7.87
Anloga,20,GH,1614107904,79,5.7947,0.8973,84.2,10.36
Koygorodok,33,RU,1614107905,99,60.445,50.9968,-19.68,3.22
Leningradskiy,100,RU,1614107906,97,69.3833,178.4167,-11.29,4.92
Raahe,90,FI,1614107907,79,64.6833,24.4833,10.99,6.91
Malé,75,MV,1614107650,83,4.1748,73.5089,82.4,12.66
Avarua,75,CK,1614107907,94,-21.2078,-159.775,75.2,4.61
Zyryanka,0,RU,1614107908,81,65.75,150.85,-33.59,2.37
Mount Gambier,90,AU,1614107908,81,-37.8333,140.7667,50.0,4.61
Bredasdorp,5,ZA,1614107908,77,-34.5322,20.0403,66.2,5.75
Cape Town,20,ZA,1614107889,77,-33.9258,18.4232,72.0,10.36
Malinovskiy,0,RU,1614107909,97,61.1953,62.8397,-28.55,4.88
Imeni Poliny Osipenko,100,RU,1614107909,88,52.4201,136.4853,-8.09,5.86
Tessalit,0,ML,1614107909,18,20.1986,1.0114,72.7,5.48
Lavrentiya,100,RU,1614107909,86,65.5833,-171.0,-7.85,8.3
Vallenar,24,CL,1614107910,34,-28.5708,-70.7581,84.33,11.86
Vila Franca do Campo,40,PT,1614107910,58,37.7167,-25.4333,55.4,26.46
Luwuk,100,ID,1614107910,74,-0.9516,122.7875,77.13,4.09
Bloomfield,90,US,1614107622,81,40.8068,-74.1854,41.0,8.05
Souillac,75,MU,1614107910,94,-20.5167,57.5167,77.0,11.5
Kalmunai,100,LK,1614107911,87,7.4167,81.8167,76.51,7.4
Nanortalik,0,GL,1614107911,61,60.1432,-45.2371,21.56,9.86
Hithadhoo,0,MV,1614107911,76,-0.6,73.0833,82.6,13.56
Russell,1,US,1614107704,20,32.3502,-85.1999,71.6,11.5
Laas,7,IT,1614107912,81,46.6166,10.7002,46.99,4.61
Baker City,90,US,1614107821,48,44.7749,-117.8344,39.2,4.61
Yeniseysk,96,RU,1614107912,88,58.4497,92.1703,-17.97,2.59
Tabas,0,IR,1614107912,36,33.5959,56.9244,53.87,2.04
Atuona,3,PF,1614107873,78,-9.8,-139.0333,78.78,13.65
Guerrero Negro,0,MX,1614107913,17,27.9769,-114.0611,75.36,2.33
Lang Suan,100,TH,1614107914,85,9.9456,99.0785,70.07,3.98
Arlit,0,NE,1614107915,7,18.7369,7.3853,72.57,13.33
Makkah al Mukarramah,3,SA,1614107648,62,21.4267,39.8261,71.1,8.41
Ilulissat,75,GL,1614107915,45,69.2167,-51.1,19.4,10.36
Hamilton,1,US,1614107915,43,39.1834,-84.5333,51.8,16.11
Gao,0,ML,1614107915,14,16.6362,1.637,75.85,10.6
Laela,100,TZ,1614107916,95,-8.5667,32.05,62.42,0.85
Nioro,0,GM,1614107890,7,13.35,-15.75,93.15,4.23
Kīhei,20,US,1614107791,64,20.785,-156.4656,75.2,4.61
Linjiang,0,CN,1614107917,85,41.8069,126.9078,3.29,1.45
Naryan-Mar,6,RU,1614107917,88,67.6713,53.087,-7.53,6.29
Oussouye,0,SN,1614107917,69,12.485,-16.5469,96.8,4.61
Talnakh,60,RU,1614107917,81,69.4865,88.3972,-29.6,5.17
Kuching,20,MY,1614107918,100,1.55,110.3333,73.4,2.3
Hakui,75,JP,1614107918,86,36.8833,136.7833,33.8,3.44
Hofn,95,IS,1614107918,84,64.2539,-15.2082,40.33,13.69
Puerto Ayora,0,EC,1614107919,66,-0.7393,-90.3518,86.0,14.97
Kahului,20,US,1614107632,64,20.8947,-156.47,75.2,4.61
Bako,100,ET,1614107919,68,5.7833,36.5667,66.69,3.24
Mapiripán,90,CO,1614107769,36,2.8892,-72.1256,94.66,9.57
My Tho,20,VN,1614107919,83,10.35,106.35,75.2,5.75
Zuwārah,80,LY,1614107920,72,32.9312,12.082,61.61,26.49
Cabo San Lucas,1,MX,1614107920,43,22.8909,-109.9124,80.01,8.05
Carauari,94,BR,1614107920,65,-4.8828,-66.8958,88.12,0.78
Mogadishu,100,SO,1614107921,78,2.0371,45.3438,78.24,20.98
Senekal,100,ZA,1614107921,89,-28.3197,27.6208,61.63,4.34
Narsaq,75,GL,1614107921,33,60.9167,-46.05,24.8,1.14
Ponta do Sol,15,PT,1614107921,80,32.6667,-17.1,62.01,1.99
Santiago,0,CL,1614107871,20,-33.4569,-70.6483,89.6,4.61
Chapais,90,CA,1614107922,93,49.7834,-74.8492,28.4,10.36
Hong Kong,99,HK,1614107715,81,22.2855,114.1577,69.01,1.01
Ambāgarh Chauki,0,IN,1614107922,18,20.7833,80.7167,69.75,1.97
Airai,100,TL,1614107923,100,-8.9266,125.4092,61.12,2.66
Southbridge,100,US,1614107923,60,42.0751,-72.0334,41.0,5.01
Isangel,20,VU,1614107923,83,-19.55,169.2667,78.8,5.75
Port Blair,0,IN,1614107923,67,11.6667,92.75,76.64,1.57
Bereda,0,ES,1614107924,54,43.2686,-7.5406,63.0,5.48
Fairbanks,1,US,1614107924,75,64.8378,-147.7164,-14.01,3.47
Mahon,75,ES,1614107924,94,39.8885,4.2658,57.2,8.05
Ballina,75,AU,1614107925,94,-28.8667,153.5667,69.8,4.61
Ribeira Grande,40,PT,1614107925,71,38.5167,-28.7,50.0,24.16
Tingo María,75,PE,1614107926,65,-9.2895,-76.0088,84.2,6.91
Kiomboi,97,TZ,1614107926,84,-4.2667,34.3667,63.28,1.72
Bitung,40,ID,1614107927,94,1.4451,125.1824,77.0,1.14
Wooster,1,US,1614107793,61,40.8051,-81.9351,42.8,23.02
Tabuk,24,PH,1614107927,94,17.4189,121.4443,71.15,1.48
Vao,84,NC,1614107928,81,-22.6667,167.4833,78.39,17.9
Batagay-Alyta,46,RU,1614107928,83,67.8006,130.4114,-29.22,0.94
Pangnirtung,90,CA,1614107928,72,66.1451,-65.7125,8.6,5.75
Poum,98,NC,1614107928,76,-20.2333,164.0167,81.27,16.33
Lüderitz,0,NA,1614107929,60,-26.6481,15.1594,66.88,24.25
Geraldton,0,AU,1614107929,43,-28.7667,114.6,69.8,4.61
Carnarvon,0,AU,1614107929,83,-24.8667,113.6333,77.0,8.05
High Level,90,CA,1614107929,78,58.5169,-117.136,5.0,6.91
Isiro,99,CD,1614107929,47,2.7739,27.616,77.67,1.59
Sørland,75,NO,1614107930,93,67.667,12.6934,41.0,23.02
Cockburn Town,75,TC,1614107930,69,21.4612,-71.1419,80.6,12.66
Saint George,1,US,1614107704,26,37.1041,-113.5841,60.01,2.06
Fasa,0,IR,1614107930,54,28.9383,53.6482,55.4,2.15
Chicama,0,PE,1614107931,78,-7.8447,-79.1469,73.4,8.05
Bilecik Province,0,TR,1614107931,56,40.0,30.1667,41.0,9.22
Ranong,71,TH,1614107931,78,9.9658,98.6348,70.47,2.93
Hay River,100,CA,1614107931,64,60.8156,-115.7999,-9.4,4.68
Saldanha,0,ZA,1614107932,72,-33.0117,17.9442,66.2,8.05
Tucumã,78,BR,1614107932,72,-0.1833,-50.05,83.77,7.76
Thompson,20,CA,1614107932,55,55.7435,-97.8558,1.4,5.75
Fare,51,PF,1614107932,69,-16.7,-151.0167,81.86,6.42
Beïnamar,0,TD,1614107933,16,8.6698,15.3813,80.1,4.5
Lompoc,1,US,1614107782,28,34.6391,-120.4579,73.4,3.15
Marsá Maţrūḩ,20,EG,1614107933,63,31.3525,27.2453,59.0,11.5
Mahébourg,75,MU,1614107933,94,-20.4081,57.7,77.0,11.5
Churapcha,61,RU,1614107933,83,62.0025,132.4325,-33.29,2.73
Straumen,0,NO,1614107934,46,63.8709,11.2999,46.4,10.36
Shakawe,28,BW,1614107934,85,-18.3667,21.85,70.88,4.18
Wahiawā,75,US,1614107934,94,21.5028,-158.0236,78.8,3.44
Vila Velha,40,BR,1614107739,78,-20.3297,-40.2925,80.6,9.22
Tonantins,100,BR,1614107935,75,-2.8731,-67.8022,85.77,3.94
Ürümqi,75,CN,1614107935,93,43.801,87.6005,28.4,2.24
Provideniya,90,RU,1614107936,85,64.3833,-173.3,-0.4,20.13
Kuna,1,US,1614107936,42,43.4918,-116.4201,42.8,12.66
Dutlwe,97,BW,1614107936,56,-23.9833,23.9,75.83,5.97
Gravelbourg,100,CA,1614107936,86,49.8834,-106.5512,28.4,18.41
Gravdal,75,NO,1614107937,93,68.1214,13.5031,39.2,16.11
Lebu,0,CL,1614107937,69,-37.6167,-73.65,61.63,23.8
Hof,0,DE,1614107938,76,50.3167,11.9167,50.0,4.72
Ossora,0,RU,1614107938,82,59.2353,163.0719,-14.62,4.25
Charter Township of Clinton,20,US,1614107929,61,42.587,-82.9199,46.4,17.27
Gerāsh,0,IR,1614107939,55,27.6652,54.1371,60.8,4.61
Nueve de Julio,0,AR,1614107939,15,-35.4444,-60.8831,91.0,3.0
Yangi Marg`ilon,40,UZ,1614107939,70,40.4272,71.7189,44.6,2.3
Altay,100,CN,1614107939,81,47.8667,88.1167,21.99,5.61
East London,0,ZA,1614107939,88,-33.0153,27.9116,71.6,12.66
Tūkrah,44,LY,1614107940,80,32.5341,20.5791,57.42,14.45
León,1,MX,1614107748,26,21.1167,-101.6667,71.6,4.61
Amapá,2,BR,1614107940,58,1.0,-52.0,85.89,3.49
Saskylakh,98,RU,1614107940,85,71.9167,114.0833,-22.94,1.32
Stepnyak,100,KZ,1614107941,98,52.8339,70.7803,22.73,19.91
La Peca,100,PE,1614107883,75,-5.6111,-78.435,72.81,1.36
Toora-Khem,96,RU,1614107942,88,52.4675,96.11,-1.53,0.69
Naze,59,JP,1614107943,72,28.3667,129.4833,60.87,7.36
Aden,3,YE,1614107919,72,12.7794,45.0367,76.17,11.63
Bhubaneswar,0,IN,1614107702,83,20.2333,85.8333,71.6,4.61
Basco,96,PH,1614107944,87,20.4487,121.9702,73.62,26.93
Na Wa,0,TH,1614107944,46,17.4897,104.1006,73.96,7.54
Washington,2,US,1614107605,68,47.5001,-120.5015,43.0,8.99
Bondo,19,CD,1614107945,26,3.8146,23.6866,78.62,1.16
Phon,0,TH,1614107945,67,15.816,102.5998,82.99,2.13
Chokwé,0,MZ,1614107945,84,-24.5333,32.9833,74.93,8.5
Kumul,100,CN,1614107947,51,42.8,93.45,45.16,7.4
Tura,0,IN,1614107947,29,25.5198,90.2201,64.8,2.01
Ciudad Guayana,67,VE,1614107947,62,8.3533,-62.6528,86.0,1.99
Atbasar,100,KZ,1614107948,94,51.8,68.3333,9.43,16.13
Eyemouth,100,GB,1614107948,94,55.8713,-2.0901,51.01,1.01
Mount Isa,40,AU,1614107948,21,-20.7333,139.5,80.6,10.36
Sinnai,0,IT,1614107948,94,39.3042,9.2036,55.99,6.91
Saint-Pierre,0,RE,1614107949,69,-21.3393,55.4781,78.8,5.75
Kaeo,44,NZ,1614107949,92,-35.1,173.7833,66.0,1.01
Daru,100,PG,1614107949,94,-9.0763,143.2092,75.13,8.59
Atasū,100,KZ,1614107949,96,48.6814,71.6433,30.83,24.52
Morazán,40,HN,1614107950,58,15.3167,-87.6,87.01,12.66
Raudeberg,75,NO,1614107950,57,61.9875,5.1352,51.8,41.43
Gizo Government Station,62,SB,1614107950,71,-8.103,156.8419,83.17,5.79
Gurupá,96,BR,1614107950,56,-1.405,-51.64,87.96,5.19
Abu Kamal,0,SY,1614107950,42,34.4506,40.9171,51.51,3.53
Sabang,100,ID,1614107951,72,5.8933,95.3214,80.89,9.73
Sola,100,VU,1614107951,82,-13.8833,167.55,82.04,18.45
Artyshta,100,RU,1614107951,92,54.1222,86.2909,-9.15,2.95
Chui,22,UY,1614107951,52,-33.6971,-53.4616,73.13,13.76
Bandarbeyla,81,SO,1614107952,75,9.4942,50.8122,76.32,17.29
Nome,90,US,1614107952,55,64.5011,-165.4064,3.2,5.75
Duliāgaon,89,IN,1614107952,41,27.3667,95.3167,68.9,2.77
Conceição do Araguaia,100,BR,1614107840,77,-8.2578,-49.2647,83.79,2.44
Chapleau,90,CA,1614107953,74,47.8405,-83.4034,32.0,8.05
Porto-Novo,20,BJ,1614107953,74,6.4965,2.6036,86.0,9.22
San Cristobal,40,VE,1614107953,54,7.7669,-72.225,86.0,9.22
Chiang Klang,100,TH,1614107954,55,19.2938,100.8617,75.49,1.25
Saquena,94,PE,1614107954,72,-4.6667,-73.5167,85.68,3.67
Bongaigaon,0,IN,1614107955,35,26.4782,90.5568,65.97,0.81
Port Macquarie,96,AU,1614107813,99,-31.4333,152.9167,66.0,1.01
Coahuayana Viejo,1,MX,1614107955,39,18.7333,-103.6833,84.2,8.05
Piterka,0,RU,1614107955,84,50.6803,47.4454,-14.67,18.12
Norman Wells,75,CA,1614107955,70,65.282,-126.8329,-13.0,2.3
Olafsvik,100,IS,1614107956,84,64.8945,-23.7142,35.78,31.59
Ribas do Rio Pardo,85,BR,1614107956,48,-20.4431,-53.7592,90.07,5.08
Praia,0,CV,1614107956,60,14.9215,-23.5087,75.2,20.71
Concepción del Oro,3,MX,1614107956,24,24.6333,-101.4167,69.91,2.71
Tiksi,71,RU,1614107956,85,71.6872,128.8694,-27.42,6.82
Matviyivka,99,UA,1614107957,84,47.0747,35.1444,24.69,12.15
Banda Aceh,100,ID,1614107957,79,5.5577,95.3222,77.94,7.38
Weiser,1,US,1614107957,42,44.251,-116.9693,42.8,8.05
Touros,20,BR,1614107957,66,-5.1989,-35.4608,86.0,20.71
Paita,0,PE,1614107958,48,-5.0892,-81.1144,87.8,16.11
