City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Rio Grande,75,BR,1614107790,83,-32.035,-52.0986,77.0,13.8
Kaz,100,RU,1614107958,92,52.9113,87.3105,8.06,2.71
Rome,90,US,1614107669,86,43.2128,-75.4557,36.0,3.44
Clyde River,75,CA,1614107958,77,70.4692,-68.5914,-11.2,2.3
Ancud,20,CL,1614107959,52,-41.8697,-73.8203,69.8,11.5
Akim Swedru,4,GH,1614107959,68,5.8938,-1.0164,80.85,6.08
Mācherla,0,IN,1614107959,68,16.4833,79.4333,73.63,4.59
Cidreira,0,BR,1614107959,55,-30.1811,-50.2056,84.72,9.6
Tucupita,71,VE,1614107959,69,9.0622,-62.051,83.7,6.51
Bulle,0,CH,1614107960,64,46.6195,7.0567,48.0,3.58
Taoudenni,0,ML,1614107960,17,22.6783,-3.9836,77.02,13.98
Usinsk,100,RU,1614107960,89,65.9939,57.5281,-18.44,4.59
Praia da Vitória,40,PT,1614107960,76,38.7333,-27.0667,51.01,24.74
Bonavista,100,CA,1614107961,86,48.6499,-53.1147,30.99,4.61
Ponte Nova,47,BR,1614107961,76,-20.4164,-42.9086,79.9,2.13
Gamboma,100,CG,1614107961,75,-1.8764,15.8644,76.41,2.15
Santa Maria,40,BR,1614107961,70,-29.6842,-53.8069,86.0,3.44
Bulawayo,90,ZW,1614107961,91,-20.15,28.5833,66.69,11.41
San Giovanni Valdarno,0,IT,1614107962,78,43.5667,11.5333,55.99,4.0
Karasjok,0,NO,1614107962,73,69.4719,25.5112,14.0,21.85
Rexburg,1,US,1614107962,32,43.826,-111.7897,33.8,10.36
Copperas Cove,1,US,1614107962,43,31.1241,-97.9031,77.0,16.11
Ust'-Koksa,100,RU,1614107963,86,50.2696,85.6108,12.49,2.51
Tavda,100,RU,1614107963,85,58.0425,65.2726,-21.15,13.15
Jumla,2,NP,1614107963,78,29.2747,82.1838,41.65,3.27
Tazovsky,99,RU,1614107964,88,67.4667,78.7,-18.92,6.11
Nouakchott,0,MR,1614107965,32,18.0858,-15.9785,82.4,13.8
Quatre Cocos,75,MU,1614107965,94,-20.2078,57.7625,77.0,11.5
Vâlcele,0,RO,1614107966,77,45.85,25.6833,39.99,2.21
Dhārchula,49,IN,1614107967,49,29.85,80.5333,56.16,4.21
Torbay,90,CA,1614107967,93,47.6666,-52.7314,32.0,19.57
Catuday,2,PH,1614107967,81,16.2923,119.8062,77.4,8.21
Yumen,100,CN,1614107968,83,40.2833,97.2,31.3,11.32
Lata,20,PT,1614107968,59,40.1629,-8.3327,60.8,6.91
Conde,40,BR,1614107968,74,-7.2597,-34.9075,84.2,13.8
Dalhousie,89,IN,1614107968,50,32.5333,75.9833,48.85,8.12
Goya,37,AR,1614107969,41,-29.14,-59.2626,91.02,10.63
São Filipe,0,CV,1614107969,65,14.8961,-24.4956,74.7,11.86
Novy Urengoy,100,RU,1614107969,87,66.0833,76.6333,-21.46,6.67
Leshukonskoye,31,RU,1614107917,90,64.8989,45.7622,-9.44,4.5
Nampula,75,MZ,1614107970,83,-15.1165,39.2666,75.2,6.91
Mossamedes,4,AO,1614107970,75,-15.1961,12.1522,72.46,14.12
Bireun,100,ID,1614107970,80,5.203,96.7009,76.89,3.62
Zhigansk,11,RU,1614107970,81,66.7697,123.3711,-39.8,0.87
Makakilo City,20,US,1614107971,61,21.3469,-158.0858,78.8,6.91
Kidal,0,ML,1614107971,15,18.4411,1.4078,75.07,9.57
Timóteo,6,BR,1614107972,83,-19.5825,-42.6444,79.83,2.13
Kayunga,100,UG,1614107972,57,0.7025,32.8886,74.25,2.37
Vendôme,0,FR,1614107972,87,47.8,1.0667,50.0,8.05
Ternate,42,ID,1614107972,81,0.8,127.4,80.6,8.14
Kashgar,0,CN,1614107973,38,39.4547,75.9797,39.2,8.95
Mantena,97,BR,1614107973,71,-18.7817,-40.9803,82.29,4.63
Bambous Virieux,75,MU,1614107973,94,-20.3428,57.7575,77.0,11.5
Padang,90,ID,1614107973,94,-0.9492,100.3543,77.0,3.44
Sept-Îles,90,CA,1614107761,80,50.2001,-66.3821,30.0,5.75
Aizkraukle,100,LV,1614107974,96,56.6048,25.2553,36.0,3.0
Meulaboh,100,ID,1614107974,84,4.1363,96.1285,77.27,3.94
Coyhaique,0,CL,1614107974,35,-45.5752,-72.0662,75.2,10.36
Gushikawa,1,JP,1614107975,94,26.3544,127.8686,66.2,5.75
Kachug,23,RU,1614107975,86,53.9606,105.8817,-11.65,1.32
Baiyin,0,CN,1614107975,60,36.5583,104.2081,37.4,8.95
Mbandaka,59,CD,1614107976,84,0.0487,18.2603,74.97,5.91
Camacha,20,PT,1614107976,88,33.0833,-16.3333,64.4,6.91
Puerto Escondido,75,MX,1614107976,70,15.85,-97.0667,84.2,5.75
Marawi,1,PH,1614107976,91,7.9986,124.2928,75.0,4.0
Tigzirt,28,DZ,1614107977,85,36.8886,4.1198,55.8,9.15
Enid,1,US,1614107714,27,36.3956,-97.8784,66.2,11.5
Vanavara,100,RU,1614107977,90,60.34,102.2797,-12.15,1.57
Emerald,8,AU,1614107977,65,-23.5333,148.1667,78.8,5.75
Yar-Sale,100,RU,1614107978,91,66.8333,70.8333,-7.94,9.04
Yerbogachën,100,RU,1614107978,87,61.2767,108.0108,-19.5,1.97
Manado,40,ID,1614107979,94,1.487,124.8455,77.0,1.14
Bichura,100,RU,1614107979,87,50.5881,107.6022,2.66,1.21
Chrysochorafa,0,GR,1614107979,69,41.1833,23.2333,55.99,1.45
Ha Tinh,0,VN,1614107979,90,18.3333,105.9,64.33,1.97
Portland,75,US,1614107573,71,45.5234,-122.6762,48.0,9.22
Sibu,40,MY,1614107980,94,2.3,111.8167,71.6,0.81
Nouadhibou,0,MR,1614107980,60,20.931,-17.0347,69.8,19.57
Hobyo,0,SO,1614107980,78,5.3505,48.5268,77.31,16.37
Katsuura,75,JP,1614107980,45,35.1333,140.3,42.01,24.16
Dwārka,0,IN,1614107981,72,22.2394,68.9678,73.71,11.56
Ziway,98,ET,1614107981,48,7.9333,38.7167,70.32,13.96
Margate,100,GB,1614107981,70,51.3813,1.3862,54.0,5.01
Broome,90,US,1614107710,93,42.2506,-75.833,36.0,9.22
Praia,0,CV,1614107981,60,14.9215,-23.5087,75.2,20.71
Richards Bay,100,ZA,1614107982,96,-28.783,32.0377,73.69,8.97
Hatta,0,IN,1614107982,22,24.1167,79.6,69.78,1.97
Codrington,99,AU,1614107982,82,-38.2667,141.9667,52.05,1.57
Kaitangata,100,NZ,1614107982,51,-46.2817,169.8464,66.99,7.31
Glendive,90,US,1614107982,80,47.1053,-104.7125,37.0,20.71
Mandera,100,KE,1614107983,37,3.9366,41.867,84.24,10.76
Waipawa,0,NZ,1614107983,63,-41.4122,175.5153,66.99,20.71
Vitim,100,RU,1614107983,90,59.4511,112.5578,-3.23,5.1
College,75,US,1614107984,75,64.8569,-147.8028,-11.99,3.44
Lakkoma,0,GR,1614107984,76,40.3833,23.05,53.01,5.75
Sambava,90,MG,1614107985,84,-14.2667,50.1667,77.32,6.85
Balikpapan,100,ID,1614107985,94,-1.2675,116.8289,74.77,2.55
Imbituva,45,BR,1614107985,64,-25.23,-50.6044,74.62,2.93
Mackenzie,1,CA,1614107986,59,55.2999,-123.1698,30.2,8.05
Lilongwe,100,MW,1614107986,78,-13.9669,33.7873,69.04,3.49
Safi,0,MA,1614107987,68,32.2994,-9.2372,63.68,15.68
Kulunda,100,RU,1614107987,95,52.566,78.9385,10.4,14.47
Dongsheng,100,CN,1614107987,82,39.8161,109.9776,32.76,1.81
Dalbandin,0,PK,1614107988,29,28.8947,64.4101,63.93,1.28
Salalah,0,OM,1614107988,73,17.0151,54.0924,75.2,2.3
Kamaishi,4,JP,1614107988,57,39.2667,141.8833,26.73,15.01
Byron Bay,75,AU,1614107988,94,-28.65,153.6167,69.8,4.61
Caravelas,92,BR,1614107989,67,-17.7125,-39.2481,82.38,9.84
Kavieng,100,PG,1614107989,76,-2.5744,150.7967,81.91,9.13
Portree,100,GB,1614107989,79,57.4129,-6.1942,46.99,18.01
Bellview,1,US,1614107989,34,30.4616,-87.315,75.2,8.05
Sotuta,0,MX,1614107989,35,20.6,-89.0167,91.54,6.35
Matagami,100,CA,1614107850,99,49.7502,-77.6328,32.77,9.84
Asău,2,RO,1614107990,52,46.4333,26.4,39.99,1.45
Rafiganj,0,IN,1614107990,77,24.8167,84.65,62.6,2.84
Santarém,75,BR,1614107990,70,-2.4431,-54.7083,86.0,10.36
Anykščiai,100,LT,1614107991,97,55.5256,25.1026,34.83,10.89
Roebourne,97,AU,1614107991,53,-20.7833,117.1333,90.07,11.97
Helegiu,0,RO,1614107991,81,46.35,26.75,39.99,4.61
Paraty,20,BR,1614107698,27,-23.2178,-44.7131,89.6,2.3
Tateyama,100,JP,1614107992,38,34.9833,139.8667,42.01,1.99
Seoul,0,KR,1614107920,37,37.5683,126.9778,30.2,3.44
Pangody,99,RU,1614107992,87,65.85,74.4859,-21.06,8.01
Chervone,100,UA,1614107992,99,49.9564,28.8645,31.62,9.62
Sainte-Maxime,0,FR,1614107992,82,43.3,6.6333,52.0,3.74
Port Hawkesbury,90,CA,1614107993,87,45.6169,-61.3485,39.99,10.36
Pulaski,1,US,1614107762,26,34.7668,-92.3001,71.6,10.36
Bloemfontein,100,ZA,1614107711,100,-29.1211,26.214,62.6,1.14
Ocós,40,GT,1614107994,48,14.5094,-92.1933,89.6,11.5
Rizhao,98,CN,1614107706,79,35.4275,119.4553,36.79,12.95
Bengkulu,99,ID,1614107994,85,-3.8004,102.2655,76.84,3.67
Sosnovo-Ozerskoye,0,RU,1614107994,88,52.5249,111.5418,-5.85,10.92
Vardø,75,NO,1614107994,85,70.3705,31.1107,12.2,26.46
Atambua,100,ID,1614107995,87,-9.1061,124.8925,74.48,1.54
Talaya,26,RU,1614107995,81,61.3833,152.75,-32.3,1.81
Burhānpur,0,IN,1614107995,17,21.3,76.2333,75.96,0.98
Cherskiy,92,RU,1614107996,82,68.75,161.3,-30.42,3.96
Serafimovich,0,RU,1614107996,66,49.5786,42.736,-7.01,14.0
Östersund,0,SE,1614107705,87,63.1792,14.6357,35.6,12.66
Le Port,0,RE,1614107997,69,-20.9373,55.2919,78.8,14.97
Vinh,0,VN,1614107997,88,18.6667,105.6667,65.62,2.04
Mizdah,98,LY,1614107997,44,31.4451,12.9801,56.37,16.53
Bertoua,0,CM,1614107998,26,4.5833,13.6833,75.97,1.57
Diamantino,37,BR,1614107998,69,-14.4086,-56.4461,86.59,4.59
Benguela,71,AO,1614107998,79,-12.5763,13.4055,74.7,4.07
Toucheng,75,TW,1614107998,94,24.8592,121.8233,68.0,11.5
Los Llanos de Aridane,75,ES,1614107758,68,28.6585,-17.9182,68.0,5.75
Alofi,100,NU,1614107999,83,-19.0595,-169.9187,77.0,5.75
Kargasok,0,RU,1614107999,86,59.0556,80.8572,-26.72,3.18
Corowa,94,AU,1614107999,87,-36.0333,146.3833,57.2,3.44
Yulara,0,AU,1614107999,37,-25.2406,130.9889,68.0,5.75
Noumea,0,NC,1614108000,83,-22.2763,166.4572,80.01,2.3
Saint John,90,CA,1614107705,86,45.2727,-66.0677,37.4,13.8
Tcholliré,0,CM,1614107788,14,8.4022,14.1698,79.41,2.62
Charters Towers,13,AU,1614108001,86,-20.1,146.2667,74.14,7.81
Nueva Gerona,1,CU,1614108001,60,21.8833,-82.8,81.03,8.63
Englehart,90,CA,1614108001,75,47.8169,-79.8664,37.4,11.5
Sur,0,OM,1614108002,48,22.5667,59.5289,73.74,6.49
Florø,75,NO,1614108002,57,61.5996,5.0328,48.2,41.43
Verkhniy Lomov,0,RU,1614108002,87,53.4678,43.5511,-19.88,8.19
Khawhai,100,IN,1614108002,61,23.3667,93.1167,46.06,2.04
Katherine,100,AU,1614108002,100,-14.4667,132.2667,73.4,4.61
Faanui,6,PF,1614108003,69,-16.4833,-151.75,82.06,6.46
Yatou,97,CN,1614108003,84,37.15,122.3833,30.83,7.27
Terney,0,RU,1614108004,84,45.0503,136.6092,1.72,17.96
Coquimbo,20,CL,1614107814,68,-29.9533,-71.3436,66.2,13.8
Lorengau,100,PG,1614108005,86,-2.0226,147.2712,79.63,14.9
Erdenet,0,MN,1614108008,89,49.0333,104.0833,1.92,2.84
Vestmannaeyjar,90,IS,1614108008,93,63.4427,-20.2734,42.8,16.11
Atar,0,MR,1614108008,9,20.5169,-13.0499,89.6,6.91
Surdulica,0,RS,1614108009,62,42.6906,22.1708,48.99,1.99
Machalí,0,CL,1614108009,26,-34.1833,-70.6667,86.0,10.36
Larkana,0,PK,1614108009,68,27.5551,68.2141,71.6,5.01
Qarqīn,55,AF,1614108009,49,37.4185,66.0436,53.1,7.49
El Bordo,24,CO,1614107713,53,2.117,-76.9821,84.2,3.0
Nayoro,100,JP,1614108010,94,44.3506,142.4578,13.35,3.22
Itarema,100,BR,1614108010,67,-2.9248,-39.9167,83.44,9.95
Znamenskoye,100,RU,1614108010,88,57.1281,73.8282,-7.62,12.15
Upernavik,89,GL,1614108011,87,72.7868,-56.1549,8.24,2.44
Morón,0,AR,1614108011,30,-34.6534,-58.6198,88.0,1.99
Sandviken,47,SE,1614108011,97,60.6167,16.7667,34.0,1.99
Sinnamary,85,GF,1614108011,76,5.3833,-52.95,81.57,13.47
Kattivākkam,20,IN,1614108011,83,13.2167,80.3167,75.2,3.44
Havøysund,75,NO,1614108013,86,70.9963,24.6622,28.4,4.61
Shahreza,60,IR,1614108013,53,32.0339,51.8794,43.59,3.33
Hambantota,1,LK,1614108013,100,6.1241,81.1185,75.2,3.44
Kerteminde,100,DK,1614108013,95,55.449,10.6577,43.0,12.64
Port Lincoln,100,AU,1614108014,66,-34.7333,135.8667,58.62,10.27
Swadlincote,0,GB,1614108014,66,52.774,-1.5574,55.0,21.85
Longyearbyen,75,SJ,1614107721,86,78.2186,15.6401,28.4,2.3
Verkhnevilyuysk,73,RU,1614108015,85,63.4453,120.3167,-30.05,3.91
Botad,0,IN,1614108015,32,22.1667,71.6667,74.34,14.25
Vilyuysk,18,RU,1614108015,84,63.7553,121.6247,-32.12,4.18
Ixtapa,1,MX,1614108015,73,20.7,-105.2,75.2,8.05
Nova Gradiška,0,HR,1614108016,76,45.255,17.3831,46.4,3.44
Shibetsu,100,JP,1614107889,92,43.659,145.132,17.74,9.86
Dhandhuka,0,IN,1614108016,30,22.3667,71.9833,74.44,11.39
Constitución,4,CL,1614107944,40,-35.3333,-72.4167,72.1,14.83
Andenes,75,NO,1614108017,87,69.3143,16.1194,35.6,13.8
Les Cayes,10,HT,1614108017,68,18.2,-73.75,80.8,11.27
Sindgi,0,IN,1614108018,20,16.9167,76.2333,73.53,8.81
Jiexiu,100,CN,1614108019,41,37.0244,111.9125,37.71,3.71
Marrakesh,0,MA,1614107917,52,31.6315,-8.0083,64.4,6.91
Hulan,0,CN,1614108019,84,45.9833,126.6,-11.2,2.24
Odesskoye,100,RU,1614108019,94,54.2111,72.9651,3.22,22.77
Abalak,100,RU,1614108020,87,58.1286,68.5944,-14.39,12.66
Ambilobe,88,MG,1614108020,88,-13.2,49.05,75.25,2.84
Tsimmerbude,40,RU,1614108020,87,54.675,20.1347,41.0,8.95
Mezen',99,RU,1614108020,90,65.8522,44.24,-5.69,8.46
San Rafael,24,AR,1614108021,18,-34.6177,-68.3301,83.95,8.72
Namatanai,82,PG,1614108021,82,-3.6667,152.4333,79.77,2.68
Grindavik,90,IS,1614108021,93,63.8424,-22.4338,35.6,17.27
Bathsheba,20,BB,1614108022,54,13.2167,-59.5167,82.4,23.02
Kathu,20,TH,1614108023,83,7.9178,98.3332,82.99,3.44
Treinta y Tres,42,UY,1614108023,55,-33.2333,-54.3833,78.37,9.62
Lyantonde,37,UG,1614108024,72,-0.4031,31.1572,68.25,2.46
Singapore,75,SG,1614108007,83,1.2897,103.8501,77.0,6.91
Armidale,87,AU,1614108025,97,-30.5167,151.65,55.99,3.0
Atkarsk,0,RU,1614108026,88,51.8718,45.0078,-19.95,12.53
Srednekolymsk,0,RU,1614108026,97,67.45,153.6833,-33.36,4.05
Khandyga,78,RU,1614108026,84,62.6667,135.6,-29.18,2.04
Araouane,0,ML,1614108027,9,18.9048,-3.5265,76.96,6.17
General Roca,0,AR,1614108027,24,-39.0333,-67.5833,84.2,5.75
Prosotsáni,0,GR,1614108027,100,41.1833,23.9667,53.01,1.9
Nakhon Si Thammarat,93,TH,1614108028,88,8.25,100.0,69.94,3.4
Kisangani,29,CD,1614108028,85,0.5167,25.2,72.93,5.73
Ainaži,100,LV,1614108028,96,57.8636,24.3578,34.74,9.17
Forestville,75,US,1614108028,47,38.8451,-76.875,55.4,17.27
Mocuba,100,MZ,1614108029,97,-16.8392,36.9856,74.82,3.02
Sorong,100,ID,1614108029,78,-0.8833,131.25,82.08,11.36
Oktyabr'skiy,100,RU,1614107832,90,54.4815,53.471,-14.67,19.53
Puerto Suárez,20,BO,1614108029,59,-18.95,-57.8,96.8,4.61
Sayyan,100,YE,1614108030,37,15.1718,44.3244,61.7,4.52
Mana,100,GF,1614108030,73,5.6592,-53.7767,82.33,13.06
Matara,94,LK,1614108030,89,5.9485,80.5353,75.18,5.21
Zhangaözen,90,KZ,1614108030,83,43.3,52.8,7.05,21.74
Aklavik,100,CA,1614108031,76,68.2191,-135.0107,-14.8,2.3
Diamantina,32,BR,1614108031,72,-18.2494,-43.6003,73.09,1.1
Qaqortoq,75,GL,1614108031,33,60.7167,-46.0333,24.8,1.14
Rūdarpur,0,IN,1614108031,38,26.4394,83.6144,63.23,3.2
São Mateus,77,BR,1614108032,74,-18.7161,-39.8589,81.55,8.05
Lhokseumawe,61,ID,1614107794,81,5.1801,97.1507,76.46,3.65
Hollins,20,US,1614108032,27,37.3413,-79.9431,62.6,24.16
Luanda,20,AO,1614107869,78,-8.8368,13.2343,80.6,11.5
Ola,0,RU,1614108032,77,59.5833,151.2833,-4.7,9.98
Kiryat Gat,99,IL,1614108033,56,31.61,34.7642,59.0,11.68
Nacogdoches,0,US,1614108033,39,31.6002,-94.6335,73.99,4.0
Walvis Bay,0,NA,1614108034,82,-22.9575,14.5053,63.0,6.91
Severnoye,96,RU,1614108034,95,56.3491,78.3619,-13.65,10.16
Iqaluit,90,CA,1614107925,86,63.7506,-68.5145,23.0,21.85
Muroto-misakicho,30,JP,1614108034,70,33.2833,134.15,49.26,12.8
Bosanski Brod,0,BA,1614107881,76,45.1375,17.9897,51.01,3.44
Nipawin,90,CA,1614108035,79,53.3668,-104.0009,17.6,6.91
Joshīmath,54,IN,1614108035,49,30.5667,79.5667,47.98,4.9
Rincon,1,US,1614108036,23,32.296,-81.2354,70.0,12.66
Sakaraha,0,MG,1614108036,61,-22.9,44.5333,76.46,6.8
Piney Green,1,US,1614108036,31,34.716,-77.3202,64.0,10.36
Gazli,100,UZ,1614108036,63,40.1333,63.45,43.39,16.04
Port-Cartier,90,CA,1614108037,80,50.0334,-66.8654,28.99,5.75
Burē,100,ET,1614108037,70,10.7,37.0667,59.2,7.47
Mehamn,75,NO,1614108037,86,71.0357,27.8492,19.4,20.71
Thunder Bay,40,CA,1614108037,48,48.4001,-89.3168,39.2,12.66
Rostovka,100,RU,1614108038,92,55.3842,71.8891,-2.81,23.42
Lalibela,55,ET,1614108038,65,12.0333,39.0333,60.39,2.17
Waingapu,100,ID,1614108039,83,-9.6567,120.2641,78.37,6.22
Maïné Soroa,0,NE,1614108039,13,13.2114,12.0241,71.67,8.16
Plouzané,90,FR,1614108039,76,48.3833,-4.6167,55.4,21.85
Cururupu,33,BR,1614108039,63,-1.8283,-44.8683,84.74,7.27
Huarmey,1,PE,1614108039,61,-10.0681,-78.1522,77.14,11.61
Moyale,100,KE,1614108040,25,3.5167,39.0584,75.83,8.81
Kulhudhuffushi,92,MV,1614108040,71,6.6221,73.07,81.88,6.22
Vasylivka,0,UA,1614108040,68,47.4369,35.2742,19.4,8.95
Pisco,0,PE,1614108041,47,-13.7,-76.2167,82.4,11.5
Muskegon,20,US,1614107902,61,43.3,-86.1334,42.8,17.27
Cervo,0,ES,1614108041,66,43.6702,-7.4101,62.01,4.0
Bilibino,100,RU,1614108041,84,68.0546,166.4372,-21.28,2.68
Okhotsk,100,RU,1614108041,86,59.3833,143.3,-0.6,10.58
Tra Vinh,91,VN,1614108042,85,9.9347,106.3453,71.67,6.85
Meiktila,65,MM,1614108044,33,20.8667,95.8667,76.46,6.17
Indramayu,100,ID,1614108045,82,-6.3264,108.32,79.52,15.12
Bowen,90,AU,1614108045,100,-20.0167,148.2333,77.0,3.44
Cairns,100,AU,1614108046,88,-16.9167,145.7667,77.0,2.3
Lishan,96,CN,1614108048,56,31.8576,113.2951,52.47,10.98
Saint-François,0,FR,1614108048,67,46.4154,3.9054,55.4,4.61
Havre-St-Pierre,90,CA,1614108048,86,50.2334,-63.5986,28.4,14.97
Khovd,43,MN,1614108048,73,48.0056,91.6419,20.64,5.75
Panzhihua,0,CN,1614108049,52,26.5851,101.7128,48.99,0.38
Boguchany,99,RU,1614108049,98,58.3814,97.4531,-15.09,2.8
